aggregator,An aggregator is a platform that aggregates liquidity from multiple decentralized exchanges (DEXs) or other sources of liquidity to provide users with the best prices and the most efficient execution for their trades.,,,Blockchain term,聚合器,agrégateur,Aggregator,agregator,aggregatore,애그리게이터,تجمیع‌کننده نقدینگی,agregador,агрегатор,agregador,aggregator,ผู้รวบรวม,toplayıcı,nền tảng tổng hợp thanh khoản,مُجمِعّ,聚合交易平台,aggregator,συσσωρευτής,एग्रीगेटर,aggregátor,アグリゲーター,Agregator,агрегатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive,"In the context of ""gas fees"", Aggressive is a category that enables you to be more forceful with your transaction, and have it completed as soon as possible. There are three categories available in MetaMask: Low, Market, Aggressive

Using advanced gas controls",,,MetaMask term,激进型,Agressif,Aggressiv,Agresif,Aggressivo,공격적,جسورانه,Agressiva,Агрессивный,agresiva/o,Agresibo,ทุ่มสุดตัว,Agresif,Cao,مغامر,Aggressive,agressief,Υψηλότερη αγοραστική τιμή ,एग्रेसिव,agresszív,積極的,Agresywne podejście,Агресивний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoric,"Agoric is a Proof-of-Stake blockchain that functions as a smart contract platform, enabling developers to deploy decentralized applications. The platform is built on a variant of the JavaScript programming language, which is a widely used language for web development. ",,,Brand name,Agoric,Agoric,Agoric,Agoric,Agoric,아고릭,آگوریک,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,Agoric,agorikus,Agoric,Agoric,Agoric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-gapping,"A method for securing computers in which the device does not connect to the internet or any other open networks. Many hardware wallets use air-gapping as a security mechanism to keep users' private keys or Secret Recovery Phrase offline, and thus safer from any kind of attack.",,,Ecosystem term,气隙,isolation déconnectée,Air-Gapping,Air-gap,air-gap,에어갭,جداسازی فیزیکی,lacuna de ar,физическая изоляция,airdrop,air-gapping,การสร้างแอร์แกป,hava boşluğu,khe hở không khí,عزل الأجهزة  ,實體隔離,air-gapping,διάκενο αέρα,एयर-गैपिंग,air-gapping (internetről való teljes leválasztás),エアギャップ,Odizolowanie od sieci (air-gapping),«повітряний зазор»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airdrop,"A token distribution method used to send cryptocurrency or tokens to wallet addresses. Sometimes airdrops are used for marketing purposes in exchange for simple tasks like reshares, referrals, or app downloads.",,,Ecosystem term,空投,airdrop,Airdrop,airdrop,airdrop,에어드롭,ایردراپ,airdrop,аирдропнуть,airdrop,airdrop,แอร์ดรอป,airdrop,tặng,توزيع مجاني,空投,airdrop,τακτική airdrop,एयरड्रॉप,airdrop,エアドロップする,Airdrop,ейрдроп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airdrop (noun),"A token distribution method used to send cryptocurrency or tokens to wallet addresses. Sometimes airdrops are used for marketing purposes in exchange for simple tasks like reshares, referrals, or app downloads.",,,Blockchain term,空投,airdrop (nom),Airdrop,airdrop,airdrop (noun),에어드롭(명사),ایردراپ,airdrop,аирдроп,AirGap Vault,airdrop (pangngalan),แอร์ดรอป,airdrop,tiền được tặng (danh từ),توزيع مجاني (اير دروب),空投,airdrop,τακτική airdrop,एयरड्रॉप (नाउन),airdrop,エアドロップ,Airdrop,ейрдроп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirGap Vault,"AirGap Vault is a crypto wallet application that provides secure storage for digital assets. The wallet is designed to be used in conjunction with AirGap's other wallet app, AirGap Wallet, which is used for sending and receiving transactions.

",,,Brand name,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,에어갭 볼트,خزانه ایرگپ,AirGap Vault,AirGap Vault,espacios de aire,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,خزانة AirGap,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirSwap,"AirSwap is a decentralized exchange (DEX) platform for trading digital assets, operating on Ethereum and Layer-2s like Polygon, Arbitrum.",,,Brand name,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,에어스왑,ایرسوآپ,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorithm,"An algorithm is a finite sequence of rigorous instructions, typically used to solve a class of specific problems or to perform a computation. ",,,Software term,算法,algorithme,Algorithmus,algoritma,algoritmo,알고리즘,الگوریتم,algoritmo,алгоритм,algoritmo,algoritmo,อัลกอริทึม,algoritma,thuật toán,خوارزمية,演算法,algoritme,αλγόριθμος,एल्गोरिथम,algoritmus,アルゴリズム,Algorytm,алгоритм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altcoin,"As Bitcoin was the first cryptocurrency, the term 'altcoin' was created to refer to 'any cryptocurrency other than Bitcoin'. The term is less used in Ethereum or smart contract-enabled blockchain communities. Many altcoins are forks of Bitcoin with minor changes (e.g., Litecoin). See also 'fork'.",,,Blockchain term,竞争币,altcoin,Altcoin,altcoin,altcoin,알트코인,آلتکوین,altcoin,альткоин,altcoin,altcoin,อัลต์คอยน์,altcoin,tiền thay thế,عملة بديلة,山寨幣,altcoin,altcoin,ऑल्टकॉइन,altcoin,アルトコイン,Altcoin,альткойн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AML (Anti-Money Laundering),A set of international laws enacted to diminish the potential for criminal organizations or individuals to launder money. These rules and laws are applied to cryptocurrencies with varying effects in different jurisdictions.,,,Ecosystem term,反洗钱（AML）,AML (lutte contre le blanchiment d’argent) ,AML (Geldwäschebekämpfung),AML (Anti-Pencucian Uang),AML (Antiriciclaggio),AML(자금세탁방지),AML (مبارزه با پولشویی),PLD (prevenção à lavagem de dinheiro),БОД (борьба с отмыванием денег),prevención de blanqueo de capitales (PBC),AML (Anti-Money Laundering),AML (การต่อต้านการฟอกเงิน),AML (Kara Para Aklamanın Önlenmesi),AML (Chống rửa tiền),مكافحة غسيل الأموال,防制洗錢計劃,"witwasbestrijding (AML, anti-money laundering)",AML Καταπολέμηση της νομιμοποίησης εσόδων από παράνομες δραστηριότητες),AML (एंटी-मनी लॉन्ड्रिंग),AML (pénzmosás elleni küzdelem),AML (マネーロンダリング対策),AML (przeciwdziałanie praniu pieniędzy),AML (Боротьба з відмиванням грошей),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,Application Programming Interface. A software intermediary that allows two separate applications to communicate with one another. APIs define methods of communication between various components.,,,Software term,API,API,API,API,API,API,API,API,API,API,API,API,API,API,واجهة برمجة التطبيقات,應用程式介面,API,API,API,API,API,API,API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API (Application Programming Interface),"A predefined set of requests that one program can make to another in order to transfer information between them. When you hear someone saying that an application is ""getting information from"" another source, it's often doing so through an API.",,,Software term,API（应用程序编程接口）,API (interface de programmation d’application),API (Anwendungsprogrammierschnittstelle),API (Antarmuka Pemrograman Aplikasi),API (Application Programming Interface),API(애플리케이션 프로그래밍 인터페이스),API (رابط برنامه کاربردی),API (interface de programação de aplicativo),API (интерфейс прикладного программирования),API (interfaz de programación de aplicaciones),API (Application Programming Interface),API (อินเทอร์เฟซโปรแกรมแอปพลิเคชัน),API (Uygulama Programlama Arayüzü),API (Giao diện lập trình ứng dụng),واجهة برمجة التطبيقات (API),應用程式介面,API (application programming interface),API (Application Programming Interface),API (एप्लीकेशन प्रोग्रामिंग इंटरफेस),API (alkalmazásprogramozási felület),API (アプリケーションプログラミングインターフェイス),API (interfejs oprogramowania aplikacji),API (інтерфейс прикладного програмування),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppChain,"A blockchain network custom-made and optimized for a specific application's needs. An appchain is generally not a full-blown blockchain, but offers an optimized execution environment for the application, while still relying on an underlying blockchain for consensus. See also: ""blockchain trilemma"", ""modular blockchain"", ""Layer 2"", ""Layer 3"".",,,Blockchain term,AppChain,AppChain,AppChain,AppChain,AppChain,앱체인,بلاک‌چین مخصوص برنامه,AppChain,Аппчейн ,cadena específica de la aplicación,AppChain,AppChain,Uygulama Zinciri,Chuỗi khối dành cho ứng dụng,بلوكتشين التطبيق الخاص (AppChain),應用鏈,AppChain,AppChain,ऐपचेन,AppChain,AppChain,AppChain,AppChain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Pay,"Apple Pay is a mobile payment service by Apple Inc. that allows users to make payments in person, in iOS apps, and on the web.",,,Brand name,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,애플 페이,اَپل پِی,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitrum,"Arbitrum is a layer 2 scaling solution for Ethereum, designed to improve the scalability and reduce the cost of transactions on the Ethereum network. It is an implementation of the Optimistic Rollup technology, which is a type of scaling solution that uses off-chain computation to reduce the load on the main Ethereum network.",,,Brand name,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,아비트럼,آربیتروم,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIC (Application Specific Integrated Circuit),"ASICs are silicon chips designed to do a specific task. In ASICs used for mining cryptocurrencies, the ASIC will perform a calculation to find values that provide a desired solution when placed into a hashing algorithm.",,,Software term,ASIC（专用集成电路）,ASIC (circuit intégré spécifique à une application) ,ASIC (Anwendungsspezifische integrierte Schaltung),ASIC (Sirkuit Terintegrasi Khusus di Aplikasi),ASIC (circuito integrato per applicazione specifica),ASIC(주문형 반도체),ای‌سیک(مدارهای مجتمع با کاربرد خاص),ASIC (circuito integrado de aplicação específica),ASIC (специальная интегральная схема),ASIC (circuito integrado de aplicación específica),ASIC (Application Specific Integrated Circuit),ASIC (วงจรรวมเฉพาะแอปพลิเคชัน),ASIC (Uygulamaya Özel Tümleşik Devre),ASIC (Mạch tích hợp chuyên dụng),الدائرة المتكاملة الخاصة بالتطبيق (ASIC),特定應用積體電路,ASIC (application-specific integrated circuit),ASIC (Application Specific Integrated Circuit),ASIC (एप्लीकेशन स्पेसिफिक इंटीग्रेटेड सर्किट),ASIC (alkalmazásspecifikus integrált áramkör),ASIC (特定用途向け集積回路),ASIC (specjalizowany układ scalony),ASIC (спеціалізована інтегральна схема),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset provenance,"Asset provenance refers to the origin, history, and ownership of a particular digital asset on the blockchain. In the crypto context, asset provenance refers to the ability to trace the ownership and transfer of a specific cryptocurrency or token from its creation or minting to its current holder.",,,Blockchain term,资产来源,Provenance de l’actif,Herkunft des Assets,Provenance aset,provenienza dei fondi,자산 출처,منشأ دارایی,origem do ativo,происхождение активов,procedencia de activos,pinagmulan ng asset,ที่มาของสินทรัพย์,varlık provenansı,nguồn gốc tài sản,منشأ الأصل,資產出處,herkomst van asset,προέλευση περιουσιακών στοιχείων,एसेट प्रोवेनेंस,eszköz eredete,資産の来歴追跡,Pochodzenie aktywów,походження активів,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attestation,"Attestation in crypto refers to the process of verifying the authenticity or validity of a piece of information or a transaction on a blockchain network. Attestation is an important aspect of blockchain technology, as it helps to ensure the integrity and security of the network.

In general, attestation involves a trusted third-party, or attester, verifying the authenticity of a transaction or piece of information. This can include verifying the identity of users on the network, verifying the accuracy of data, or validating the authenticity of a digital signature.

One example of attestation in crypto is the use of digital signatures to authenticate transactions on a blockchain network. Digital signatures use public key cryptography to verify the identity of the sender and ensure that the transaction has not been tampered with.

Another example of attestation in crypto is the use of Proof of Stake (PoS) consensus mechanisms, which rely on validators to attest to the validity of transactions on the network. Validators are responsible for verifying transactions and adding new blocks to the blockchain, and they are rewarded with cryptocurrency for their efforts.

For more info, see Attestation in Ethereum.",,,Blockchain term,证明,attestation,Bestätigung,pengesahan,attestazione,증명,گواهی,atestado,аттестация,atestación,pagpapatunay,การลงนามรับรอง,tasdik,chứng thực,المصادقة,見證消息,attestatie,επιβεβαίωση,अटेस्टेशन,tanúsítvány,証明,Poświadczenie,атестація,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche,"Avalanche is a decentralized blockchain platform designed to provide fast and secure transactions for digital assets and applications. The platform uses a consensus mechanism known as Avalanche consensus, which allows for high throughput, low latency, and customizable blockchains.",,,Brand name,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,아발란체,اولانچ,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axie Infinity,"Axie Infinity is a non-fungible token-based online video game known for its in-game economy, which uses Ethereum-based cryptocurrencies.",,,Brand name,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,액시 인피니티,اکسی اینفینیتی,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
